name,slug,tier,description
Flying,flying,Solo,"<p> While flying, the Obsidian Predator gains a +3 bonus to their Difficulty.</p>"
Frozen Scales,frozen-scales,Solo,"<p>When a creature makes a successful attack against the Dragon from within Very Close range, they must mark a Stress and become Chilled until their next rest or they clear a Stress. While they are Chilled, they have disadvantage on attack rolls.</p>"
Grapple and Drown,grapple-and-drown,Solo,"<p>Make an attack roll against a target within Close range. On a success, <strong>mark a Stress</strong> to grab them with a tentacle and drag them beneath the water. The target is <em>Restrained</em> and <em>Vulnerable</em> until they break free with a successful Strength Roll or the Kraken takes Major or greater damage. While <em>Restrained</em> and <em>Vulnerable</em> in this way, a target must mark a Stress when they make an action roll.</p>"
Hail of Boulders,hail-of-boulders,Solo,"<p><strong>Mark a Stress</strong> to pick up heavy objects and throw them at all targets in front of the Ogre within Far range. Make an attack against these targets. Targets the Ogre succeeds against take <strong>1d10+2</strong> physical damage. If they succeed against more than one target, you gain a Fear.</p><p>@Template[type:inFront|range:f]</p>"
Hallucinatory Breath,hallucinatory-breath,Solo,"<p>Countdown (Loop 1d6). When the Flickerfly takes damage for the first time, activate the countdown. When it triggers, the Flickerfly breathes hallucinatory gas on all targets in front of them up to Far range. Targets must make an Instinct Reaction Roll or be tormented by fearful hallucinations. Targets whose fears are known to the Flickerfl y have disadvantage on this roll. Targets who fail lose 2 Hope and take <strong>3d8+3</strong> direct magic damage.</p><p>@Template[type:inFront|range:f]</p>"
Hallucinatory Breath,hallucinatory-breath,Solo,"<p>Countdown (Loop 1d6). When the Flickerfly takes damage for the first time, activate the countdown. When it triggers, the Flickerfly breathes hallucinatory gas on all targets in front of them up to Far range. Targets must make an Instinct Reaction Roll or be tormented by fearful hallucinations. Targets whose fears are known to the Flickerfl y have disadvantage on this roll. Targets who fail lose 2 Hope and take <strong>3d8+3</strong> direct magic damage.</p><p>@Template[type:inFront|range:f]</p>"
Hellfire,hellfire,Solo,<p><strong>Spend a Fear</strong> to rain down hellfire within Far range. All targets within the area must make an Agility Reaction Roll. Targets who fail take <strong>1d20+3</strong> magic damage. Targets who succeed take half damage.</p><p>@Template[type:emanation|range:f]</p>
I Have Never Known Defeat,i-have-never-known-defeat,Solo,"<p>When the Realm-Breaker marks their last HP, replace them with the @UUID[Compendium.daggerheart.adversaries.Actor.RXkZTwBRi4dJ3JE5]{Fallen Warlord: Undefeated Champion} and immediately spotlight them.</p>"
Injured Wings,injured-wings,Solo,"<p>While flying, the Ashen Tyrant gains a +1 bonus to their Difficulty.</p>"
Lava Splash,lava-splash,Solo,"<p>When the Molten Scourge takes Severe damage from an attack within Very Close range, molten blood gushes from the wound and deals <strong>2d10+4</strong> direct physical damage to the attacker.</p>"
Magical Reflection,magical-reflection,Solo,"<p>When the Elemental takes damage from an attack within Close range, deal an amount of damage to the attacker equal to half the damage they dealt.</p>"
Magical Weakness,magical-weakness,Solo,"<p>When the Hydra takes magic damage, they become Dazed until the next roll with Fear. While Dazed, they can’t use their Regeneration action but are immune to magic damage.</p>"
Mana Beam,mana-beam,Solo,"<p>The Box fires a searing beam. Make an attack against a target within Far range. On a success, deal <strong>2d10+2</strong> magic damage. </p>"
Many Tentacles,many-tentacles,Solo,"<p>While the Kraken has 7 or fewer marked HP, they can make their standard attack against two targets within range.</p>"
Many-Headed Menace,many-headed-menace,Solo,"<p>The Hydra begins with three heads and can have up to five. When the Hydra takes Major or greater damage, they lose a head.</p>"
Mind Dance,mind-dance,Solo,"<p><strong>Mark a Stress</strong> to create a magically dazzling display that grapples the minds of nearby foes. All targets within Close range must make an Instinct Reaction Roll. For each target who failed, you gain a Fear and the Flickerfl y learns one of the target’s fears.</p><p>@Template[type:emanation|range:c]</p>"
Mind Dance,mind-dance,Solo,"<p><strong>Mark a Stress</strong> to create a magically dazzling display that grapples the minds of nearby foes. All targets within Close range must make an Instinct Reaction Roll. For each target who failed, you gain a Fear and the Flickerfl y learns one of the target’s fears.</p><p>@Template[type:emanation|range:c]</p>"
Momentum,momentum,Solo,"<p>When the Elemental makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Solo,"<p>When the Gorgon makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Solo,"<p>When the Demon makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Solo,"<p> When the Kraken makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Solo,"<p>When the Undefeated Champion makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Solo,"<p>When the Elemental makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Solo,"<p>When the Dragon makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Solo,"<p> When the Elemental makes a successful attack against a PC, you gain a Fear.</p>"
Never Misses,never-misses,Solo,"<p>When the Flickerfly makes an attack, the target’s Evasion is halved against the attack.</p>"
No Hope,no-hope,Solo,"<p>When a PC rolls with Fear while within Far range of the Dragon, they lose a Hope.</p>"
Obsidian Scales,obsidian-scales,Solo,<p>The Obsidian Predator is resistant to physical damage.</p>
Ominous Knowledge,ominous-knowledge,Solo,"<p>When the Oracle sees a mortal creature, they instantly know one of their personal nightmares.</p>"
Overcharge,overcharge,Solo,"<p>Before rolling damage for the Box’s attack, you can <strong>mark a Stress</strong> to add a <strong>d6</strong> to the damage roll. Additionally, you gain a Fear.</p>"
Overload,overload,Solo,"<p>Before rolling damage for the Construct’s attack, you can <strong>mark a Stress</strong> to gain a +10 bonus to the damage roll. The Construct can then take the spotlight again.</p>"
Peerless Accuracy,peerless-accuracy,Solo,"<p>Before the Flickerfly makes an attack, roll a d6. On a result of 4 or higher, the target’s Evasion is halved against this attack.</p>"
Petrifying Gaze,petrifying-gaze,Solo,"<p>When the Gorgon takes damage from an attack within Close range, you can <strong>spend a Fear</strong> to force the attacker to make an Instinct Reaction Roll. On a failure, they begin to turn to stone, marking a HP and starting a Petrification Countdown (4). This countdown ticks down when the Gorgon is attacked. When it triggers, the target must make a death move. If the Gorgon is defeated, all petrification countdowns end.</p>"
Pronounce Fate,pronounce-fate,Solo,"<p><strong>Spend a Fear</strong> to present a target within Far range with a vision of their personal nightmare. The target must make a Knowledge Reaction Roll. On a failure, they lose all Hope and take <strong>2d20+4</strong> direct magic damage. On a success, they take half damage and lose a Hope.</p>"
Psionic Whine,psionic-whine,Solo,<p>The Box releases a cluster of mechanical bees whose buzz rattles mortal minds. All targets within Close range must succeed on a Presence Reaction Roll or take <strong>2d4+9</strong> direct magic damage.</p><p>@Template[type:emanation|range:c]</p>
Ramp Up,ramp-up,Solo,"<p>You must <strong>spend a Fear</strong> to spotlight the Ogre. While spotlighted, they can make their standard attack against all targets within range.</p>"
Ramp Up,ramp-up,Solo,"<p>You must <strong>spend a Fear</strong> to spotlight the Ogre. While spotlighted, they can make their standard attack against all targets within range.</p>"
Rampaging Fury,rampaging-fury,Solo,"<p>When the Ogre marks 2 or more HP, they can rampage. Move the Ogre to a point within Close range and deal <strong>2d6+3</strong> direct physical damage to all targets in their path.</p>"
Randomized Tactics,randomized-tactics,Solo,<p>Mark a Stress and roll a <strong>d6</strong>. The Box uses the corresponding move:</p><ol><li><p><strong>Mana Beam</strong></p></li><li><p><strong>Fire Jets</strong></p></li><li><p><strong>Trample</strong></p></li><li><p><strong>Shocking Gas</strong></p></li><li><p><strong>Stunning Clap</strong></p></li><li><p><strong>Psionic Whine</strong></p></li></ol>
Reaper,reaper,Solo,"<p>Before rolling damage for the Demon’s attack, you can <strong>mark a Stress</strong> to gain a bonus to the damage roll equal to the Demon’s current number of marked HP.</p>"
Regeneration,regeneration,Solo,"<p>If the Hydra has any marked HP, <strong>spend a Fear</strong> to clear a HP and grow two heads.</p>"
Relentless (2),relentless-2,Solo,<p>The Box can be spotlighted up to two times times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (2),relentless-2,Solo,<p>The Elemental can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (2),relentless-2,Solo,<p>The Realm-Breaker can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (2),relentless-2,Solo,<p>The Construct can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (2),relentless-2,Solo,<p>The Demon can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (2),relentless-2,Solo,<p>The Box can be spotlighted up to two times times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (2),relentless-2,Solo,<p>The Gorgon can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (3),relentless-3,Solo,<p>The Molten Scourge can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (3),relentless-3,Solo,<p>The Kraken can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (3),relentless-3,Solo,<p>The Flickerfly can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (3),relentless-3,Solo,<p>The Burrower can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (3),relentless-3,Solo,<p>The Molten Scourge can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (3),relentless-3,Solo,<p>The Dragon can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (4),relentless-4,Solo,<p>The Flickerfly can be spotlighted up to four times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (4),relentless-4,Solo,<p>The Flickerfly can be spotlighted up to four times per GM turn. Spend Fear as usual to spotlight them.</p>
Relentless (X),relentless-x,Solo,"<p>The Hydra can be spotlighted X times per GM turn, where X is the Hydra’s number of heads. Spend Fear as usual to spotlight them.</p>"
Remake Reality,remake-reality,Solo,<p><strong>Spend a Fear</strong> to transform the area within Very Close range into a different biome. All targets within this area take <strong>2d6+3</strong> direct magic damage.</p><p>@Template[type:emanation|range:vc]</p>
Rend and Crush,rend-and-crush,Solo,"<p>If a target damaged by the Dragon doesn’t mark an Armor Slot to reduce the damage, they must mark a Stress.</p>"
Scorched Earth,scorched-earth,Solo,<p><strong>Mark a Stress</strong> to choose a point within Far range. The ground within Very Close range of that point immediately bursts into fl ames. All creatures within this area must make an Agility Reaction Roll. Targets who fail take <strong>2d8</strong> magic damage from the fl ames. Targets who succeed take half damage.</p><p>@Template[type:circle|range:vc]</p>
Shattering Might,shattering-might,Solo,"<p><strong>Mark a Stress</strong> to make an attack against a target within Very Close range. On a success, the target takes <strong>4d8+1</strong> physical damage, loses a Hope, and is knocked back to Close range. The Molten Scourge clears a Stress.</p>"
Shattering Strike,shattering-strike,Solo,<p><strong>Mark a Stress</strong> to make a standard attack against all targets within Very Close range. PCs the Champion succeeds against lose a number of Hope equal to the HP they marked from this attack.</p><p>@Template[type:emanation|range:vc]</p>
Shocking Gas,shocking-gas,Solo,<p>The Box sprays out a silver gas sparking with lightning. All targets within Close range must succeed on a Finesse Reaction Roll or mark 3 Stress. </p><p>@Template[type:emanation|range:c]</p>
Sickening Flux,sickening-flux,Solo,<p><strong>Mark a HP</strong> to force all targets within Close range to mark a Stress and become <em>Vulnerable</em> until their next rest or they clear a HP.</p><p>@Template[type:emanation|range:c]</p>
Spit Acid,spit-acid,Solo,"<p>Make an attack against all targets in front of the Burrower within Close range. Targets the Burrower succeeds against take <strong>2d6</strong> physical damage and must mark an Armor Slot without receiving its benefi ts (they can still use armor to reduce the damage). If they can’t mark an Armor Slot, they must mark an additional HP and you gain a Fear.</p><p>@Template[type:inFront|range:c]</p>"
Stunning Clap,stunning-clap,Solo,"<p>The Box leaps and their sides clap, creating a small sonic boom. All targets within Very Close range must succeed on a Strength Reaction Roll or become <em>Vulnerable</em> until the cube is defeated.</p><p>@Template[type:emanation|range:vc]</p>"
Summon Tormentors,summon-tormentors,Solo,"<p>Once per day, <strong>spend 2 Fear</strong> to summon <strong>2d4</strong> Tier 2 or below Minions relevant to one of the PC’s personal nightmares. They appear at Close range relative to that PC.</p>"
Sunsear Arrows,sunsear-arrows,Solo,"<p>When the Gorgon makes a successful standard attack, the target Glows until the end of the scene and can’t become <em>Hidden</em>. Attack rolls made against a Glowing target have advantage.</p>"
Terrifying,terrifying,Solo,"<p>When the Oracle makes a successful attack, all PCs within Far range lose a Hope and you gain a Fear.</p><p>@Template[type:emanation|range:f]</p>"
Terrifying,terrifying,Solo,"<p>When the Oracle makes a successful attack, all PCs within Far range lose a Hope and you gain a Fear.</p><p>@Template[type:emanation|range:f]</p>"
Terrifying Chorus,terrifying-chorus,Solo,<p>All PCs within Far range lose 2 Hope.</p><p>@Template[type:emanation|range:f]</p>
Tormented Screams,tormented-screams,Solo,<p><strong>Mark a Stress</strong> to cause all PCs within Far range to make a Presence Reaction Roll (13). Targets who fail lose a Hope and you gain a Fear for each. Targets who succeed must mark a Stress.</p><p>@Template[type:emanation|range:f]</p>
Tormenting Lash,tormenting-lash,Solo,"<p><strong>Mark a Stress</strong> to make a standard attack against all targets within Very Close range. When a target uses armor to reduce damage from this attack, they must mark 2 Armor Slots.</p><p>@Template[type:emanation|range:vc]</p>"
Trample,trample,Solo,<p><strong>Mark a Stress</strong> to make an attack against all targets in the Construct’s path when they move. Targets the Construct succeeds against take <strong>1d8</strong> physical damage.</p>
Trample,trample,Solo,<p><strong>Mark a Stress</strong> to make an attack against all targets in the Construct’s path when they move. Targets the Construct succeeds against take <strong>1d8</strong> physical damage.</p>
Uncanny Reflexes,uncanny-reflexes,Solo,"<p>When the Flickerfly takes damage from an attack within Close range, you can mark a Stress to take half damage.</p>"
Vengeful Fate,vengeful-fate,Solo,"<p>When the Oracle marks HP from an attack within Very Close range, you can <strong>mark a Stress</strong> to knock the attacker back to Far range and deal <strong>2d10+4</strong> physical damage.</p>"
Volcanic Breath,volcanic-breath,Solo,"<p>When the Molten Scourge takes Major damage, roll a <strong>d10</strong>. On a result of 8 or higher, the Molten Scourge breathes a flow of lava in front of them within Far range. All targets in that area must make an Agility Reaction Roll. Targets who fail take <strong>2d10+4</strong> physical damage, mark <strong>1d4</strong> Stress, and are Vulnerable until they clear a Stress. Targets who succeed take half damage and must mark a Stress.</p><p>@Template[type:inFront|range:f]</p>"
Walls Closing In,walls-closing-in,Solo,"<p>When a creature rolls a failure while within Very Far range of the Oracle, they must mark a Stress.</p>"
Weak Structure,weak-structure,Solo,"<p>When the Construct marks HP from physical damage, they must mark an additional HP.</p>"
Whirlwind,whirlwind,Solo,"<p><strong>Spend a Fear</strong> to whirl, making an attack against all targets within Very Close range. Targets the Flickerfly succeeds against take <strong>3d8</strong> direct physical damage.</p><p>@Template[type:emanation|range:vc]</p>"
Armor-Shredding Shards,armor-shredding-shards,Standard,"<p>On a successful attack within Melee range against the Snake, the attacker must mark an Armor Slot without receiving its benefits (they can still use armor to reduce the damage). If they can’t mark an Armor Slot, they must mark an additional HP.</p>"
Blade of the Forest,blade-of-the-forest,Standard,<p><strong>Spend a Fear</strong> to make an attack against all targets within Very Close range. Targets the Knight succeeds against take physical damage equal to <strong>[[/r 3d4]]</strong> + the target’s Major threshold.</p><p>@Template[type:emanation|range:vc]</p>
Blend In,blend-in,Standard,"<p>When the Soldier makes a successful attack, you can <strong>mark a Stress</strong> to become Hidden until the Soldier’s next attack or a PC succeeds on an Instinct Roll (14) to find them.</p>"
Climber,climber,Standard,<p>The Bandit climbs just as easily as they run.</p>
Detain,detain,Standard,"<p>Make an attack against a target within Very Close range. On a success, <strong>mark a Stress</strong> to Restrain the target until they break free with a successful attack, Finesse Roll, or Strength Roll.</p>"
Draining Bite,draining-bite,Standard,"<p>Make an attack against a target within Melee range. On a success, deal <strong>5d4</strong> physical damage. A target who marks HP from this attack loses a Hope and must mark a Stress. The Vampire then clears a HP.</p>"
Fall Back,fall-back,Standard,"<p>When a creature moves into Melee range to make an attack, you can <strong>mark a Stress</strong> before the attack roll to move anywhere within Close range and make an attack against that creature. On a success, deal <strong>1d10+2</strong> physical damage.</p>"
Forest Control,forest-control,Standard,<p><strong>Spend a Fear</strong> to pull down a tree within Close range. A creature hit by the tree must succeed on an Agility Reaction Roll (15) or take <strong>1d10</strong> physical damage.</p>
From Above,from-above,Standard,"<p>When the Bandit succeeds on a standard attack from above a target, they deal <strong>1d10+1</strong> physical damage instead of their standard damage.</p>"
From Above,from-above,Standard,"<p>When the Bandit succeeds on a standard attack from above a target, they deal <strong>1d10+1</strong> physical damage instead of their standard damage.</p>"
Ghost,ghost,Standard,<p>The Guardian has resistance to physical damage. <strong>Mark a Stress</strong> to move up to Close range through solid objects.</p>
Ghost Blade,ghost-blade,Standard,"<p><strong>Spend a Fear</strong> to make an attack against a target within Very Close range. On a success, deal <strong>2d10+6</strong> physical damage and the target must mark a Stress.</p>"
Horrifying,horrifying,Standard,<p>Targets who mark HP from the Zombie’s attacks must also mark a Stress.</p>
Lurching Lunge,lurching-lunge,Standard,<p><strong>Mark a Stress</strong> to spotlight the Experiment as an additional GM move instead of spending Fear.</p>
Maintain Distance,maintain-distance,Standard,"<p>After making a standard attack, the Harrier can move anywhere within Far range.</p>"
Mistform,mistform,Standard,"<p>When the Vampire takes physical damage, you can <strong>spend a Fear</strong> to take half damage.</p>"
Only Bones,only-bones,Standard,<p>The Warrior is resistant to physical damage.</p>
Overwhelm,overwhelm,Standard,"<p>When a target the Experiment attacks has other adversaries within Very Close range, the Experiment deals double damage.</p>"
Overwhelm,overwhelm,Standard,"<p>When a target the Experiment attacks has other adversaries within Very Close range, the Experiment deals double damage.</p>"
Pack tactics,pack-tactics,Standard,"<p>If the Soldier makes a standard attack and another Sylvan Soldier is within Melee range of the target, deal <strong>1d8+5</strong> physical damage instead of their standard damage.</p>"
Reinforce,reinforce,Standard,"<p><strong>Mark a Stress</strong> to move into Melee range of an ally and make a standard attack against a target within Very Close range. On a success, deal <strong>2d10+2</strong> physical damage and the ally can clear a Stress.</p>"
Shield Wall,shield-wall,Standard,"<p>A creature who tries to move within Very Close range of the Guard must succeed on an Agility Roll. If additional Bladed Guards are standing in a line alongside the f i rst, and each is within Melee range of another guard in the line, the Diffi  culty increases by the total number of guards in that line.</p>"
Spinning Serpent,spinning-serpent,Standard,<p><strong>Mark a Stress</strong> to make an attack against all targets within Very Close range. Targets the Snake succeeds against take <strong>1d6+1</strong> physical damage.</p>
Spitter,spitter,Standard,"<p><strong>Spend a Fear</strong> to introduce a <strong>d6</strong> Spitter Die. When the Snake is in the spotlight, roll this die. On a result of 5 or higher, all targets in front of the Snake within Far range must succeed on an Agility Reaction Roll or take <strong>1d4</strong> physical damage. The Snake can take the spotlight a second time this GM turn.</p><p>@Template[type:inFront|range:f]</p>"
Thorny Armor,thorny-armor,Standard,"<p>When the Knight takes damage from an attack within Melee range, you can <strong>mark a Stress</strong> to deal <strong>1d10+5</strong> physical damage to the attacker.</p>"
Too Many to Handle,too-many-to-handle,Standard,"<p>When the Zombie is within Melee range of a creature and at least one other Zombie is within Close range, all attacks against that creature have advantage.</p>"
Unseen Strike,unseen-strike,Standard,"<p>If the Sniper is <em>Hidden</em> when they make a successful standard attack against a target, they deal <strong>1d10+4</strong> physical damage instead of their standard damage.</p>"
Vassal's Loyalty,vassal-s-loyalty,Standard,"<p>When the Soldier is within Very Close range of a knight or other noble who would take damage, you can mark a Stress to move into Melee range of them and take the damage instead.</p>"
Warped Fortitude,warped-fortitude,Standard,<p>The Experiment is resistant to physical damage.</p>
Won't Stay Dead,won-t-stay-dead,Standard,"<p>When the Warrior is defeated, you can spotlight them and roll a <strong>d6</strong>. On a result of 6, if there are other adversaries on the battlefi eld, the Warrior re-forms with no marked HP.</p>"
Blocking Shield,blocking-shield,Support,<p>Creatures within Melee range of the Gaoler have disadvantage on attack rolls against them. Creatures trapped inside the Gaoler are immune to this feature.</p>
Chaotic Flux,chaotic-flux,Support,<p>Make an attack against up to three targets within Very Close range. <strong>Mark a Stress</strong> to deal <strong>2d6+3</strong> magic damage to targets the Hexer succeeded against.</p>
Conflagration,conflagration,Support,<p><strong>Spend a Fear</strong> to unleash an all-consuming f i restorm and make an attack against all targets within Close range. Targets the Sorcerer succeeds against take <strong>2d10+6</strong> direct magic damage.</p><p>@Template[type:emanation|range:c]</p>
Curse,curse,Support,"<p>Choose a target within Far range and temporarily Curse them. While the target is Cursed, you can <strong>mark a Stress</strong> when that target rolls with Hope to make the roll be with Fear instead.</p>"
Disgorge Realiy Flotsam,disgorge-realiy-flotsam,Support,<p><strong>Mark a Stress</strong> to spew partially digested portions of consumed realities at all targets within Close range. Targets must succeed on a Knowledge Reaction Roll or mark 2 Stress.</p><p>@Template[type:emanation|range:c]</p>
Drowning Embrace,drowning-embrace,Support,"<p><strong>Spend a Fear</strong> to make an attack against all targets within Very Close range. Targets the Elemental succeeds against become <em>Restrained</em> and <em>Vulnerable</em> as they begin drowning. A target can break free, ending both conditions, with a successful Strength or Instinct Roll.</p><p>@Template[type:emanation|range:vc]</p>"
Enervating Blast,enervating-blast,Support,"<p><strong>Spend a Fear</strong> to make a standard attack against a target within range. On a success, the target must mark a Stress.</p>"
Fear Is Fuel,fear-is-fuel,Support,"<p> Twice per scene, when a PC rolls a failure with Fear, clear a Stress.</p>"
High Tide,high-tide,Support,"<p>When the Elemental makes a successful standard attack, you can <strong>mark a Stress</strong> to knock the target back to Close range.</p>"
Lock Up,lock-up,Support,"<p><strong>Mark a Stress</strong> to make an attack against a target within Very Close range. On a success, the target is <em>Restrained</em> within the Gaoler until freed with a successful Strength Roll (18). While <em>Restrained</em>, the target can only attack the Gaoler. </p>"
Money Is Time,money-is-time,Support,<p><strong>Spend 3 handfuls of gold (or a Fear)</strong> to spotlight [[/r 1d4+1]] allies.</p>
Money Talks,money-talks,Support,"<p>Attacks against the Demon are made with disadvantage unless the attacker spends a handful of gold. This Demon starts with a number of handfuls equal to the number of PCs. When a target marks HP from the Demon’s standard attack, they can spend a handful of gold instead of marking HP (1 handful per HP). Add a handful of gold to the Demon for each handful of gold spent by PCs on this feature.</p>"
Nightmare Tableau,nightmare-tableau,Support,"<p><strong>Mark a Stress</strong> to trap a target within Far range in a powerful illusion of their worst fears. While trapped, the target is <em>Restrained</em> and <em>Vulnerable</em> until they break free, ending both conditions, with a successful Instinct Roll.</p>"
Number Must Go Up,number-must-go-up,Support,<p>Add a bonus to the Demon’s attack rolls equal to the number of handfuls of gold they have.</p>
Shackles of Guilt,shackles-of-guilt,Support,"<p>Countdown (Loop 2d6). When the Sorcerer is in the spotlight for the first time, activate the countdown. When it triggers, all targets within Far range become Vulnerable and must mark a Stress as they relive their greatest regrets. A target can break free from their regret with a successful Presence or Strength Roll. When a PC fails to break free, they lose a Hope.</p><p>@Template[type:emanation|range:f]</p>"
Shadow Shackles,shadow-shackles,Support,<p><strong>Spend a Fear</strong> and choose a point within Far range. All targets within Close range of that point are <em>Restrained</em> in smoky chains until they break free with a successful Strength or Instinct Roll. A target Restrained by this feature must spend a Hope to make an action roll.</p><p>@Template[type:circle|range:c]</p>
Shroud of the Fallen,shroud-of-the-fallen,Support,"<p><strong>Mark a Stress</strong> to wrap an ally within Close range in a shroud of Protection until the Adept marks their last HP. While Protected, the target has resistance to all damage.</p>"
Slippery,slippery,Support,"<p>When the Sorcerer takes damage from an attack, they can teleport up to Far range.</p>"
Water Jet,water-jet,Support,"<p><strong>Mark a Stress</strong> to attack a target within Very Close range. On a success, deal <strong>2d4+7</strong> physical damage and the target’s next action has disadvantage. On a failure, the target must mark a Stress.</p>"
Will-Shattering Touch,will-shattering-touch,Support,"<p>When a PC takes damage from the Corrupter, they lose a Hope.</p>"
